id;nom;date_debut;date_fin;prerequis;objectifs;contenu
1;Credit Card Account;2020-03-28;2020-03-27;Infrastructure Configuration;parsing Buckinghamshire Diverse;Awesome Infrastructure back up
2;Cambridgeshire;2020-03-27;2020-03-27;Grocery North Dakota transparent;Planner Investment Account European Monetary Unit (E.M.U.-6);synthesize
3;Argentina;2020-03-28;2020-03-27;compressing;Bedfordshire Auto Loan Account;mindshare
4;Home Loan Account strategic;2020-03-28;2020-03-27;Costa Rican Colon Norfolk Island;radical;payment
5;Granite next-generation Tokelau;2020-03-28;2020-03-27;violet Cotton cross-media;Refined;Research
6;Brazilian Real Central olive;2020-03-27;2020-03-28;primary;Steel cross-platform;pink
7;override Wooden Facilitator;2020-03-27;2020-03-28;enable Swiss Franc;interfaces Small Steel Chicken Strategist;well-modulated Fall Product
8;Central Generic Senior;2020-03-27;2020-03-28;Team-oriented contextually-based Fantastic;Bedfordshire Reduced;RSS back-end bluetooth
9;Handcrafted Granite Mouse;2020-03-27;2020-03-27;composite Practical Plastic Computer;plum copying Bedfordshire;ivory Brazilian Real
10;Meadows Money Market Account;2020-03-27;2020-03-27;mobile Enterprise-wide knowledge base;North Korean Won circuit;Plastic
