id;code;cout;processeur;ram;dd;date_achat;stock
1;Convertible Marks Garden;39376;neural Moldovan Leu Shoes;4192;93234;2020-03-28;75196
2;payment best-of-breed;7888;SMTP;99074;82627;2020-03-27;84991
3;bottom-line Awesome;79592;local;88351;63258;2020-03-27;58732
4;Berkshire COM withdrawal;58193;Bacon Tuna;74020;13891;2020-03-28;57288
5;Prairie;61732;Cheese;26098;24598;2020-03-27;85261
6;California;95989;Metal;83979;38647;2020-03-28;7114
7;Unbranded Concrete Computer protocol;6494;Avon withdrawal facilitate;63186;38802;2020-03-27;56498
8;Handcrafted Fresh Pizza Gold application;26952;seize;9609;88737;2020-03-27;32120
9;deposit;93129;Buckinghamshire;66349;51654;2020-03-28;65947
10;Persistent implement Sleek;70649;sky blue compressing New Hampshire;50987;90211;2020-03-28;67689
